,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:24Z,read,1,EEA10001,Stellantis1,Stellantis1,9,11,-71,-76,5,1.9632996344280862,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:26Z,read,1,EEA10001,Stellantis1,Stellantis1,8,1,-71,-71,0,,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:28Z,read,1,EEA10001,Stellantis1,Stellantis1,1,5,-73,-76,3,1.0954451150103335,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:30Z,read,1,EEA10001,Stellantis1,Stellantis1,5,6,-75,-78,3,1.211060141638996,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:32Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-75,-82,7,2.8809720581775857,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:34Z,read,1,EEA10001,Stellantis1,Stellantis1,4,2,-73,-76,3,2.1213203435596424,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:36Z,read,1,EEA10001,Stellantis1,Stellantis1,2,7,-74,-79,5,1.7994708216848754,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:42Z,read,1,EEA10001,Stellantis1,Stellantis1,6,11,-71,-79,8,2.049390153191919,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:44Z,read,1,EEA10001,Stellantis1,Stellantis1,7,7,-74,-81,7,2.2886885410853197,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:46Z,read,1,EEA10001,Stellantis1,Stellantis1,4,11,-70,-80,10,2.773248833211527,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:48Z,read,1,EEA10001,Stellantis1,Stellantis1,8,15,-70,-77,7,2.1044171232366042,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:50Z,read,1,EEA10001,Stellantis1,Stellantis1,9,2,-73,-75,2,1.4142135623730951,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:52Z,read,1,EEA10001,Stellantis1,Stellantis1,2,6,-66,-76,10,3.4880749227427263,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:54Z,read,1,EEA10001,Stellantis1,Stellantis1,6,12,-67,-73,6,2.193309385519074,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:56Z,read,1,EEA10001,Stellantis1,Stellantis1,7,17,-69,-78,9,2.771971054937581,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:11:58Z,read,1,EEA10001,Stellantis1,Stellantis1,9,8,-68,-76,8,3.0908852176312585,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:00Z,read,1,EEA10001,Stellantis1,Stellantis1,6,10,-67,-78,11,4.237399621885522,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:02Z,read,1,EEA10001,Stellantis1,Stellantis1,7,3,-75,-78,3,1.7320508075688772,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:04Z,read,1,EEA10001,Stellantis1,Stellantis1,3,12,-70,-79,9,2.443296332763786,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:06Z,read,1,EEA10001,Stellantis1,Stellantis1,6,13,-70,-78,8,2.724532422834591,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:08Z,read,1,EEA10001,Stellantis1,Stellantis1,8,15,-68,-79,11,3.601586951807296,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:10Z,read,1,EEA10001,Stellantis1,Stellantis1,9,9,-69,-78,9,2.948634335492353,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:12Z,read,1,EEA10001,Stellantis1,Stellantis1,7,8,-75,-80,5,1.7268882005337984,med
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:12:14Z,read,1,EEA10001,Stellantis1,Stellantis1,4,12,-71,-77,6,2.103388319888276,med
